학교,코드 번호,제목,Name,Strategic field,Keywords
CSEM,CS-006,Enabling technologies for all integrated quantum photonic circuits,Sylvain Nicolay,Quantum,"Quantum, Quantum computing"
CSEM,CS-007,BEAST – Embedded Medical Secure Platform for End-to-End Data Security from SoC to Cloud,Costas Meimetis,"Semiconductor/Display, Advanced Bio, Cybersecurity, AI","Information Security Technology, Bio and Medical Devices, Embedded Security Systems Secure Medical IoT Platforms Digital Healthcare Systems, Secure, Medical, Data, Acquisition and Transmission"
CSEM,CS-008,Continuous Unidirectional Perfusion SmartLid for Hydrostatic Microphysiological Platforms,Stéphanie Boder-Pasche,Advanced Bio,"Bio-Medical, Bio-Medical, Therapeutic devices &, Diagnostic devices, Clinical chemistry &, biological analysis, instruments, Bio-signal measurement, / Diagnostic devices, Medical-Bio, Pharmaceutical bio-, based technologies and, systems, Bio-Artificial Organs"
CSEM,CS-009,Miniaturized bioprocess tools for high-throughput perfusion-like cell culture,Stéphanie Boder-Pasche,Advanced Bio,"Bio-Medical, Bio-Medical, Bio-processes / Bio-, equiment, Bio-process, technologies, Bio-process equipment, technologies, Medical-Bio, Pharmaceutical bio-, based technologies and, systems"
CSEM,CS-010,"Real-time, in-flight droplet volume measurement for liquid handling (FastDrop)",Dr. Stefano Cattaneo,Advanced Bio,"Bio·Medical, Electrical·Electronics, Therapeutic Devices &, Diagnostic Devices, Clinical Chemistry &, Biological Analysis, Instruments, Measuring Instruments, Measurement Sensors and, Components"
CSEM,CS-011,Real‑time flow cytometry coupled with microlens array single‑cell imaging,Thomas Valentin,Advanced Bio,"Advanced Bio, Advanced Bio, Bio-processes /, Bio-Equipment, Bio-Analytical Instruments Medical Bio, Cell, and, Tissue, Therapeutics"
CSEM,CS-012,Biophotonic Chip Integration and Biocompatible Packaging for Diagnostics and Sensing,Mark Fretz,"Semiconductor/Display, Advanced Bio","Advanced Bio, ElectricalㆍElectronics, Therapeutic Devices, &, Diagnostic Devices, Bio-signal Measurement /, Diagnostic Devices, Optical Application, Devices, Other Optical Application, Devices"
CSEM,CS-013,Image-Based AI Decision Support for Biomedical and Life Science Applications,Tim Heinemann,"Advanced Bio, AI","Bio Medical, Bio Medical, Therapeutic Devices, &, Diagnostic Devices, Intelligent Interpretation, Systems, Medical Bio, Other, Biopharmaceuticals /, Bio-Materials"
CSEM,CS-014,Developing Interpretable and Robust AI Systems for Regulation-Ready Life Science Applications,Jonas Meirer,"Advanced Bio, AI","Bio Medical, Therapeutic Devices, &, Diagnostic Devices, Intelligent Interpretation, Systems"
CSEM,CS-015,"BioTracker  A Modular Salivary Biosensing Platform for Multi-Analyte, Non-Invasive Health Monitoring",Dr. Loïc Burr,Advanced Bio,"Bio Medical, Bio Medical, Therapeutic Devices, &, Diagnostic Devices, Bio-signal Measurement, / Diagnostic Devices, Medical Information, & Systems, Remote and Home, Health care Devices"
